ID,Flight Number,Origin Airport,Origin Code,Destination Airport,Destination Code,Departing Date,Departing Time,Duration,Distance,Time Zone Difference,Arrival Date,Arrival Time,Flight Type, Surcharge,Food Served,Route Cost,Miner Points,Total Seats,First Class Seats,Business Class Seats,Main Cabin Seats,First Class Price,Business Class Price,Main Cabin Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue,
17,23817,Los Angeles International Airport,LAX,El Paso International Airport,ELP,2/21/2023,5:30 AM,113,714,1,2/21/2023,8:23 AM,Domestic,0,FALSE,10484,1428,157,8,52,97,2412,1052,203,0,0,0,0,0,0,0
18,23018,Los Angeles International Airport,LAX,El Paso International Airport,ELP,2/21/2023,8:25 AM,113,714,1,2/21/2023,11:18 AM,Domestic,0,FALSE,10484,1428,167,10,59,98,1531,1086,309,0,0,0,0,0,0,0
19,23119,Los Angeles International Airport,LAX,El Paso International Airport,ELP,2/21/2023,12:10 PM,113,714,1,2/21/2023,3:03 PM,Domestic,0,FALSE,10484,1428,150,12,47,91,2836,593,279,0,0,0,0,0,0,0
20,23220,Los Angeles International Airport,LAX,El Paso International Airport,ELP,2/21/2023,3:05 PM,113,714,1,2/21/2023,5:58 PM,Domestic,0,FALSE,10484,1428,163,10,57,96,1957,1192,449,0,0,0,0,0,0,0
21,23321,El Paso International Airport,ELP,Chicago International Airport,ORD,2/21/2023,5:30 AM,176,1235,1,2/21/2023,9:26 AM,Domestic,0,FALSE,12805,2470,165,8,58,99,1805,924,354,0,0,0,0,0,0,0
22,23422,El Paso International Airport,ELP,Chicago International Airport,ORD,2/21/2023,8:25 AM,176,1235,1,2/21/2023,12:21 PM,Domestic,0,FALSE,12805,2470,177,15,59,103,2044,670,359,0,0,0,0,0,0,0
23,23523,El Paso International Airport,ELP,Chicago International Airport,ORD,2/21/2023,12:10 PM,176,1235,1,2/21/2023,4:06 PM,Domestic,0,FALSE,12805,2470,162,13,60,89,2175,1147,267,0,0,0,0,0,0,0
24,23624,El Paso International Airport,ELP,Chicago International Airport,ORD,2/21/2023,3:05 PM,176,1235,1,2/21/2023,7:01 PM,Domestic,0,FALSE,12805,2470,152,12,51,89,2295,1112,508,0,0,0,0,0,0,0
25,23725,El Paso International Airport,ELP,Chicago International Airport,ORD,2/21/2023,6:50 PM,176,1235,1,2/21/2023,10:46 PM,Domestic,0,FALSE,12805,2470,165,10,63,92,1897,822,231,0,0,0,0,0,0,0
26,23826,Chicago International Airport,ORD,El Paso International Airport,ELP,2/21/2023,5:30 AM,176,1235,-1,2/21/2023,7:26 AM,Domestic,0,FALSE,11175,2470,169,13,54,102,2751,661,545,0,0,0,0,0,0,0
27,23027,Chicago International Airport,ORD,El Paso International Airport,ELP,2/21/2023,8:25 AM,176,1235,-1,2/21/2023,10:21 AM,Domestic,0,FALSE,11175,2470,155,15,42,98,3472,1188,212,0,0,0,0,0,0,0
28,23128,Chicago International Airport,ORD,El Paso International Airport,ELP,2/21/2023,12:10 PM,176,1235,-1,2/21/2023,2:06 PM,Domestic,0,FALSE,11175,2470,139,10,41,88,1338,1120,357,0,0,0,0,0,0,0
29,23229,Chicago International Airport,ORD,El Paso International Airport,ELP,2/21/2023,3:05 PM,176,1235,-1,2/21/2023,5:01 PM,Domestic,0,FALSE,11175,2470,157,10,55,92,3223,941,416,0,0,0,0,0,0,0
30,23330,El Paso International Airport,ELP,Hartsfield-Jackson Atlanta International Airport,ATL,2/21/2023,5:30 AM,181,1280,2,2/21/2023,10:31 AM,Domestic,0,FALSE,19240,2560,160,11,56,93,2205,667,353,0,0,0,0,0,0,0
31,23431,El Paso International Airport,ELP,Hartsfield-Jackson Atlanta International Airport,ATL,2/21/2023,8:25 AM,181,1280,2,2/21/2023,1:26 PM,Domestic,0,FALSE,19240,2560,166,12,63,91,3360,563,165,0,0,0,0,0,0,0
32,23532,El Paso International Airport,ELP,Hartsfield-Jackson Atlanta International Airport,ATL,2/21/2023,12:10 PM,181,1280,2,2/21/2023,5:11 PM,Domestic,0,FALSE,19240,2560,149,9,49,91,3413,1109,439,0,0,0,0,0,0,0
33,23633,Hartsfield-Jackson Atlanta International Airport,ATL,El Paso International Airport,ELP,2/21/2023,5:30 AM,181,1280,-2,2/21/2023,6:31 AM,Domestic,0,FALSE,14337,2560,153,13,51,89,2496,889,286,0,0,0,0,0,0,0
34,23734,Hartsfield-Jackson Atlanta International Airport,ATL,El Paso International Airport,ELP,2/21/2023,8:25 AM,181,1280,-2,2/21/2023,9:26 AM,Domestic,0,FALSE,14337,2560,162,11,56,95,3449,1128,242,0,0,0,0,0,0,0
35,23835,Hartsfield-Jackson Atlanta International Airport,ATL,El Paso International Airport,ELP,2/21/2023,12:10 PM,181,1280,-2,2/21/2023,1:11 PM,Domestic,0,FALSE,14337,2560,146,12,44,90,1244,612,490,0,0,0,0,0,0,0
36,23036,Hartsfield-Jackson Atlanta International Airport,ATL,El Paso International Airport,ELP,2/21/2023,3:05 PM,181,1280,-2,2/21/2023,4:06 PM,Domestic,0,FALSE,14337,2560,142,12,45,85,1212,1122,463,0,0,0,0,0,0,0
37,23137,Hartsfield-Jackson Atlanta International Airport,ATL,El Paso International Airport,ELP,2/21/2023,6:50 PM,181,1280,-2,2/21/2023,7:51 PM,Domestic,0,FALSE,14337,2560,172,13,63,96,1545,1082,515,0,0,0,0,0,0,0
38,23238,El Paso International Airport,ELP,John F. Kennedy International Airport,JFK,2/21/2023,5:30 AM,256,1903,2,2/21/2023,11:46 AM,Domestic,0,FALSE,10889,3806,153,8,52,93,2057,616,147,0,0,0,0,0,0,0
39,23339,El Paso International Airport,ELP,John F. Kennedy International Airport,JFK,2/21/2023,8:25 AM,256,1903,2,2/21/2023,2:41 PM,Domestic,0,FALSE,10889,3806,144,13,41,90,1730,786,249,0,0,0,0,0,0,0
40,23440,El Paso International Airport,ELP,John F. Kennedy International Airport,JFK,2/21/2023,12:10 PM,256,1903,2,2/21/2023,6:26 PM,Domestic,0,FALSE,10889,3806,165,10,63,92,1932,941,275,0,0,0,0,0,0,0
41,23541,El Paso International Airport,ELP,John F. Kennedy International Airport,JFK,2/21/2023,3:05 PM,256,1903,2,2/21/2023,9:21 PM,Domestic,0,FALSE,10889,3806,158,15,45,98,3440,1115,230,0,0,0,0,0,0,0
42,23642,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,5:30 AM,256,1903,-2,2/21/2023,7:46 AM,Domestic,0,FALSE,13061,3806,164,15,50,99,2508,929,149,0,0,0,0,0,0,0
43,23743,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,8:25 AM,256,1903,-2,2/21/2023,10:41 AM,Domestic,0,FALSE,13061,3806,167,14,62,91,1515,722,407,0,0,0,0,0,0,0
44,23844,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,12:10 PM,256,1903,-2,2/21/2023,2:26 PM,Domestic,0,FALSE,13061,3806,166,12,51,103,2954,1144,401,0,0,0,0,0,0,0
45,23045,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,3:05 PM,256,1903,-2,2/21/2023,5:21 PM,Domestic,0,FALSE,13061,3806,165,10,54,101,1305,1023,466,0,0,0,0,0,0,0
46,23146,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,6:50 PM,256,1903,-2,2/21/2023,9:06 PM,Domestic,0,FALSE,13061,3806,163,9,54,100,1748,640,446,0,0,0,0,0,0,0
47,23247,John F. Kennedy International Airport,JFK,El Paso International Airport,ELP,2/21/2023,9:45 PM,256,1903,-2,2/22/2023,12:01 AM,Domestic,0,FALSE,13061,3806,146,8,47,91,3188,604,124,0,0,0,0,0,0,0
48,23348,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,5:30 AM,275,2064,2,2/21/2023,12:05 PM,Domestic,0,FALSE,11521,4128,151,13,51,87,3025,1036,351,0,0,0,0,0,0,0
49,23449,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,8:25 AM,275,2064,2,2/21/2023,3:00 PM,Domestic,0,FALSE,11521,4128,157,14,54,89,3115,1112,343,0,0,0,0,0,0,0
50,23550,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,12:10 PM,275,2064,2,2/21/2023,6:45 PM,Domestic,0,FALSE,11521,4128,154,8,56,90,1538,1198,393,0,0,0,0,0,0,0
51,23651,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,3:05 PM,275,2064,2,2/21/2023,9:40 PM,Domestic,0,FALSE,11521,4128,160,14,60,86,3259,944,462,0,0,0,0,0,0,0
52,23752,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,6:50 PM,275,2064,2,2/22/2023,1:25 AM,Domestic,0,FALSE,11521,4128,141,8,48,85,1362,1066,180,0,0,0,0,0,0,0
53,23853,El Paso International Airport,ELP,Boston Logan International Airport,BOS,2/21/2023,9:45 PM,275,2064,2,2/22/2023,4:20 AM,Domestic,0,FALSE,11521,4128,162,10,53,99,1248,994,359,0,0,0,0,0,0,0
54,23054,Boston Logan International Airport,BOS,El Paso International Airport,ELP,2/21/2023,5:30 AM,275,2064,2,2/21/2023,12:05 PM,Domestic,0,FALSE,18758,4128,147,8,53,86,3436,1117,407,0,0,0,0,0,0,0
55,23155,Boston Logan International Airport,BOS,El Paso International Airport,ELP,2/21/2023,8:25 AM,275,2064,2,2/21/2023,3:00 PM,Domestic,0,FALSE,18758,4128,159,11,48,100,3450,890,467,0,0,0,0,0,0,0
56,23256,Boston Logan International Airport,BOS,El Paso International Airport,ELP,2/21/2023,12:10 PM,275,2064,2,2/21/2023,6:45 PM,Domestic,0,FALSE,18758,4128,153,11,43,99,1831,1012,193,0,0,0,0,0,0,0
57,23357,Boston Logan International Airport,BOS,El Paso International Airport,ELP,2/21/2023,3:05 PM,275,2064,2,2/21/2023,9:40 PM,Domestic,0,FALSE,18758,4128,157,10,61,86,2539,580,542,0,0,0,0,0,0,0
58,23458,Boston Logan International Airport,BOS,El Paso International Airport,ELP,2/21/2023,6:50 PM,275,2064,2,2/22/2023,1:25 AM,Domestic,0,FALSE,18758,4128,156,8,54,94,1963,933,495,0,0,0,0,0,0,0
59,23559,El Paso International Airport,ELP,Harry Reid International Airport,LAS,2/21/2023,5:30 AM,97,582,-1,2/21/2023,6:07 AM,Domestic,0,FALSE,16488,1164,165,12,59,94,1645,1000,263,0,0,0,0,0,0,0
60,23660,El Paso International Airport,ELP,Harry Reid International Airport,LAS,2/21/2023,8:25 AM,97,582,-1,2/21/2023,9:02 AM,Domestic,0,FALSE,16488,1164,152,9,58,85,3447,625,270,0,0,0,0,0,0,0
61,23761,El Paso International Airport,ELP,Harry Reid International Airport,LAS,2/21/2023,12:10 PM,97,582,-1,2/21/2023,12:47 PM,Domestic,0,FALSE,16488,1164,162,11,64,87,1611,930,395,0,0,0,0,0,0,0
62,23862,El Paso International Airport,ELP,Harry Reid International Airport,LAS,2/21/2023,3:05 PM,97,582,-1,2/21/2023,3:42 PM,Domestic,0,FALSE,16488,1164,160,14,43,103,3309,837,364,0,0,0,0,0,0,0
63,23063,El Paso International Airport,ELP,Harry Reid International Airport,LAS,2/21/2023,6:50 PM,97,582,-1,2/21/2023,7:27 PM,Domestic,0,FALSE,16488,1164,161,11,62,88,2675,1117,399,0,0,0,0,0,0,0
64,23164,Harry Reid International Airport,LAS,El Paso International Airport,ELP,2/21/2023,5:30 AM,97,582,1,2/21/2023,8:07 AM,Domestic,0,FALSE,13844,1164,163,15,62,86,2374,980,371,0,0,0,0,0,0,0
65,23265,Harry Reid International Airport,LAS,El Paso International Airport,ELP,2/21/2023,8:25 AM,97,582,1,2/21/2023,11:02 AM,Domestic,0,FALSE,13844,1164,163,14,50,99,1954,1031,261,0,0,0,0,0,0,0
66,23366,Harry Reid International Airport,LAS,El Paso International Airport,ELP,2/21/2023,12:10 PM,97,582,1,2/21/2023,2:47 PM,Domestic,0,FALSE,13844,1164,169,9,56,104,2650,681,176,0,0,0,0,0,0,0
67,23467,El Paso International Airport,ELP,Heathrow Airport,LHR,2/21/2023,5:30 AM,645,5148,7,2/21/2023,11:15 PM,International,13,TRUE,57472,15444,164,14,50,100,7332,3814,921,0,0,0,0,0,0,0
68,23568,El Paso International Airport,ELP,Heathrow Airport,LHR,2/21/2023,8:25 AM,645,5148,7,2/22/2023,2:10 AM,International,13,TRUE,57472,15444,157,14,55,88,11612,4631,1315,0,0,0,0,0,0,0
69,23669,El Paso International Airport,ELP,Heathrow Airport,LHR,2/21/2023,12:10 PM,645,5148,7,2/22/2023,5:55 AM,International,13,TRUE,57472,15444,164,14,53,97,10918,2888,1095,0,0,0,0,0,0,0
70,23770,El Paso International Airport,ELP,Heathrow Airport,LHR,2/21/2023,3:05 PM,645,5148,7,2/22/2023,8:50 AM,International,13,TRUE,57472,15444,159,12,45,102,7511,4785,1033,0,0,0,0,0,0,0
71,23871,El Paso International Airport,ELP,Heathrow Airport,LHR,2/21/2023,6:50 PM,645,5148,7,2/22/2023,12:35 PM,International,13,TRUE,57472,15444,158,12,51,95,5343,4103,1271,0,0,0,0,0,0,0
72,23072,Heathrow Airport,LHR,El Paso International Airport,ELP,2/21/2023,5:30 AM,645,5148,-7,2/21/2023,9:15 AM,International,13,TRUE,61130,15444,164,15,62,87,6401,5889,903,0,0,0,0,0,0,0
73,23173,Heathrow Airport,LHR,El Paso International Airport,ELP,2/21/2023,8:25 AM,645,5148,-7,2/21/2023,12:10 PM,International,13,TRUE,61130,15444,152,12,47,93,5866,3657,1156,0,0,0,0,0,0,0
74,23274,Heathrow Airport,LHR,El Paso International Airport,ELP,2/21/2023,12:10 PM,645,5148,-7,2/21/2023,3:55 PM,International,13,TRUE,61130,15444,175,15,59,101,10483,4041,1390,0,0,0,0,0,0,0
75,23375,Heathrow Airport,LHR,El Paso International Airport,ELP,2/21/2023,3:05 PM,645,5148,-7,2/21/2023,6:50 PM,International,13,TRUE,61130,15444,142,9,46,87,4833,5255,1079,0,0,0,0,0,0,0
76,23476,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,2/21/2023,5:30 AM,142,957,1,2/21/2023,8:52 AM,International,3,TRUE,63428,2871,152,13,53,86,3994,3640,1278,0,0,0,0,0,0,0
77,23577,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,2/21/2023,8:25 AM,142,957,1,2/21/2023,11:47 AM,International,3,TRUE,63428,2871,153,12,51,90,6513,4784,1128,0,0,0,0,0,0,0
78,23678,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,2/21/2023,12:10 PM,142,957,1,2/21/2023,3:32 PM,International,3,TRUE,63428,2871,143,8,47,88,8535,3239,1080,0,0,0,0,0,0,0
79,23779,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,2/21/2023,3:05 PM,142,957,1,2/21/2023,6:27 PM,International,3,TRUE,63428,2871,146,8,48,90,8583,4620,969,0,0,0,0,0,0,0
80,23880,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,2/21/2023,6:50 PM,142,957,1,2/21/2023,10:12 PM,International,3,TRUE,63428,2871,154,8,49,97,10598,4679,1198,0,0,0,0,0,0,0
81,23081,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,5:30 AM,142,957,-1,2/21/2023,6:52 AM,International,3,TRUE,67866,2871,159,11,59,89,6235,3909,1039,0,0,0,0,0,0,0
82,23182,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,8:25 AM,142,957,-1,2/21/2023,9:47 AM,International,3,TRUE,67866,2871,171,15,52,104,7674,3960,1420,0,0,0,0,0,0,0
83,23283,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,12:10 PM,142,957,-1,2/21/2023,1:32 PM,International,3,TRUE,67866,2871,151,14,48,89,9685,4670,936,0,0,0,0,0,0,0
84,23384,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,3:05 PM,142,957,-1,2/21/2023,4:27 PM,International,3,TRUE,67866,2871,139,12,41,86,4709,2950,868,0,0,0,0,0,0,0
85,23485,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,6:50 PM,142,957,-1,2/21/2023,8:12 PM,International,3,TRUE,67866,2871,161,12,59,90,5915,5688,885,0,0,0,0,0,0,0
86,23586,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/21/2023,9:45 PM,142,957,-1,2/21/2023,11:07 PM,International,3,TRUE,67866,2871,158,9,58,91,11725,4038,884,0,0,0,0,0,0,0
87,23687,Aeropuerto Internacional Benito Juarez,MEX,Abraham Gonzalez International Airport,CJS,2/22/2023,1:30 AM,142,957,-1,2/22/2023,2:52 AM,International,3,TRUE,67866,2871,167,12,59,96,8932,5774,817,0,0,0,0,0,0,0
88,23788,Orlando International Airport,ORL,Los Angeles International Airport,LAX,2/21/2023,5:30 AM,281,1927,-3,2/21/2023,7:11 AM,Domestic,0,FALSE,60001,3854,145,10,47,88,2480,708,163,0,0,0,0,0,0,0
89,23889,Orlando International Airport,ORL,Los Angeles International Airport,LAX,2/21/2023,8:25 AM,281,1927,-3,2/21/2023,10:06 AM,Domestic,0,FALSE,60001,3854,155,11,43,101,2807,1063,536,0,0,0,0,0,0,0
90,23090,Orlando International Airport,ORL,Los Angeles International Airport,LAX,2/21/2023,12:10 PM,281,1927,-3,2/21/2023,1:51 PM,Domestic,0,FALSE,60001,3854,172,14,61,97,3106,1049,379,0,0,0,0,0,0,0
91,23191,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,5:30 AM,281,1927,3,2/21/2023,1:11 PM,Domestic,0,FALSE,69447,3854,156,13,41,102,1546,783,359,0,0,0,0,0,0,0
92,23292,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,8:25 AM,281,1927,3,2/21/2023,4:06 PM,Domestic,0,FALSE,69447,3854,164,14,58,92,1297,1018,499,0,0,0,0,0,0,0
93,23393,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,12:10 PM,281,1927,3,2/21/2023,7:51 PM,Domestic,0,FALSE,69447,3854,156,13,56,87,1696,1154,256,0,0,0,0,0,0,0
94,23494,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,3:05 PM,281,1927,3,2/21/2023,10:46 PM,Domestic,0,FALSE,69447,3854,155,12,40,103,1465,831,356,0,0,0,0,0,0,0
95,23595,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,6:50 PM,281,1927,3,2/22/2023,2:31 AM,Domestic,0,FALSE,69447,3854,141,12,42,87,3288,1023,363,0,0,0,0,0,0,0
96,23696,Los Angeles International Airport,LAX,Orlando International Airport,ORL,2/21/2023,9:45 PM,281,1927,3,2/22/2023,5:26 AM,Domestic,0,FALSE,69447,3854,143,10,47,86,3452,1137,311,0,0,0,0,0,0,0
97,23797,Logan International Airport,BOS,Los Angeles International Airport,LAX,2/21/2023,5:30 AM,326,2269,-3,2/21/2023,7:56 AM,Domestic,0,TRUE,78648,4538,151,9,40,102,2944,1014,147,0,0,0,0,0,0,0
98,23898,Logan International Airport,BOS,Los Angeles International Airport,LAX,2/21/2023,8:25 AM,326,2269,-3,2/21/2023,10:51 AM,Domestic,0,TRUE,78648,4538,151,13,50,88,3126,565,387,0,0,0,0,0,0,0
99,23099,Logan International Airport,BOS,Los Angeles International Airport,LAX,2/21/2023,12:10 PM,326,2269,-3,2/21/2023,2:36 PM,Domestic,0,TRUE,78648,4538,147,8,48,91,2511,815,197,0,0,0,0,0,0,0
100,231100,Logan International Airport,BOS,Los Angeles International Airport,LAX,2/21/2023,3:05 PM,326,2269,-3,2/21/2023,5:31 PM,Domestic,0,TRUE,78648,4538,156,9,49,98,1676,978,203,0,0,0,0,0,0,0
101,232101,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,5:30 AM,326,2269,3,2/21/2023,1:56 PM,Domestic,0,TRUE,69898,4538,153,9,54,90,1354,576,125,0,0,0,0,0,0,0
102,233102,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,8:25 AM,326,2269,3,2/21/2023,4:51 PM,Domestic,0,TRUE,69898,4538,157,15,50,92,2168,754,312,0,0,0,0,0,0,0
103,234103,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,12:10 PM,326,2269,3,2/21/2023,8:36 PM,Domestic,0,TRUE,69898,4538,156,10,57,89,3207,970,248,0,0,0,0,0,0,0
104,235104,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,3:05 PM,326,2269,3,2/21/2023,11:31 PM,Domestic,0,TRUE,69898,4538,148,15,44,89,2222,968,159,0,0,0,0,0,0,0
105,236105,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,6:50 PM,326,2269,3,2/22/2023,3:16 AM,Domestic,0,TRUE,69898,4538,173,11,63,99,2358,997,136,0,0,0,0,0,0,0
106,237106,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/21/2023,9:45 PM,326,2269,3,2/22/2023,6:11 AM,Domestic,0,TRUE,69898,4538,160,9,51,100,3017,1142,446,0,0,0,0,0,0,0
107,238107,Los Angeles International Airport,LAX,Logan International Airport,BOS,2/22/2023,1:30 AM,326,2269,3,2/22/2023,9:56 AM,Domestic,0,TRUE,69898,4538,163,11,48,104,1416,619,246,0,0,0,0,0,0,0
108,230108,El Paso International Airport,ELP,Cancun International Airport,CUN,2/21/2023,5:30 AM,190,1229,2,2/21/2023,10:40 AM,International,4,TRUE,57774,3687,160,12,50,98,3954,3469,870,0,0,0,0,0,0,0
109,231109,El Paso International Airport,ELP,Cancun International Airport,CUN,2/21/2023,8:25 AM,190,1229,2,2/21/2023,1:35 PM,International,4,TRUE,57774,3687,150,14,45,91,4214,5597,999,0,0,0,0,0,0,0
110,232110,El Paso International Airport,ELP,Cancun International Airport,CUN,2/21/2023,12:10 PM,190,1229,2,2/21/2023,5:20 PM,International,4,TRUE,57774,3687,165,14,64,87,11626,4149,1194,0,0,0,0,0,0,0
111,233111,Cancun International Airport,CUN,El Paso International Airport,ELP,2/21/2023,5:30 AM,190,1229,-2,2/21/2023,6:40 AM,International,4,TRUE,75296,3687,178,13,63,102,10584,5152,1271,0,0,0,0,0,0,0
112,234112,Cancun International Airport,CUN,El Paso International Airport,ELP,2/21/2023,8:25 AM,190,1229,-2,2/21/2023,9:35 AM,International,4,TRUE,75296,3687,147,9,47,91,10774,5245,793,0,0,0,0,0,0,0
113,235113,Cancun International Airport,CUN,El Paso International Airport,ELP,2/21/2023,12:10 PM,190,1229,-2,2/21/2023,1:20 PM,International,4,TRUE,75296,3687,166,11,53,102,5954,3693,1161,0,0,0,0,0,0,0
114,236114,Cancun International Airport,CUN,El Paso International Airport,ELP,2/21/2023,3:05 PM,190,1229,-2,2/21/2023,4:15 PM,International,4,TRUE,75296,3687,177,15,58,104,11757,3460,972,0,0,0,0,0,0,0
115,237115,Cancun International Airport,CUN,El Paso International Airport,ELP,2/21/2023,6:50 PM,190,1229,-2,2/21/2023,8:00 PM,International,4,TRUE,75296,3687,156,14,50,92,7297,4720,729,0,0,0,0,0,0,0
